BASE_FILE,FRAME_NO,NEXT_FRAME,FILENAME,BITMAPPTR
SS-001  ,1,2,SS-001M ,0
SS-001  ,2,3,SS-001N ,39310
SS-001  ,3,4,SS-001O ,78041
SS-001  ,4,5,SS-001P ,116970
SS-001  ,5,1,SS-001Q ,156866
SS-002  ,1,2,SS-002M ,1017
SS-002  ,2,3,SS-002N ,40327
SS-002  ,3,4,SS-002O ,79058
SS-002  ,4,5,SS-002P ,117987
SS-002  ,5,1,SS-002Q ,157883
SS-003  ,1,2,SS-003M ,2034
SS-003  ,2,3,SS-003N ,41344
SS-003  ,3,4,SS-003O ,80075
SS-003  ,4,5,SS-003P ,119004
SS-003  ,5,1,SS-003Q ,158900
SS-004  ,1,2,SS-004M ,3051
SS-004  ,2,3,SS-004N ,42361
SS-004  ,3,4,SS-004O ,81092
SS-004  ,4,5,SS-004P ,120021
SS-004  ,5,1,SS-004Q ,159917
SS-005  ,1,2,SS-005M ,4068
SS-005  ,2,3,SS-005N ,43378
SS-005  ,3,4,SS-005O ,82109
SS-005  ,4,5,SS-005P ,121038
SS-005  ,5,1,SS-005Q ,160934
SS-006  ,1,2,SS-006M ,5085
SS-006  ,2,3,SS-006N ,44395
SS-006  ,3,4,SS-006O ,83126
SS-006  ,4,5,SS-006P ,122055
SS-006  ,5,1,SS-006Q ,161951
SS-007  ,1,2,SS-007M ,6102
SS-007  ,2,3,SS-007N ,45412
SS-007  ,3,4,SS-007O ,84143
SS-007  ,4,5,SS-007P ,123072
SS-007  ,5,1,SS-007Q ,162968
SG-001  ,1,2,SG-001M ,7119
SG-001  ,2,3,SG-001N ,46429
SG-001  ,3,4,SG-001O ,85160
SG-001  ,4,5,SG-001P ,124089
SG-001  ,5,6,SG-001Q ,163985
SG-001  ,6,7,SG-001P ,124089
SG-001  ,7,8,SG-001O ,85160
SG-001  ,8,9,SG-001N ,46429
SG-001  ,9,1,SG-001M ,7119
SG-001A ,1,2,SG-001AM,8016
SG-001A ,2,3,SG-001AN,47338
SG-001A ,3,4,SG-001AO,86074
SG-001A ,4,5,SG-001AP,125018
SG-001A ,5,6,SG-001AQ,164920
SG-001A ,6,7,SG-001AP,125018
SG-001A ,7,8,SG-001AO,86074
SG-001A ,8,9,SG-001AN,47338
SG-001A ,9,1,SG-001AM,8016
SG-002  ,1,2,SG-002M ,8863
SG-002  ,2,3,SG-002N ,48183
SG-002  ,3,4,SG-002O ,86920
SG-002  ,4,5,SG-002P ,125869
SG-002  ,5,6,SG-002Q ,165776
SG-002  ,6,7,SG-002P ,125869
SG-002  ,7,8,SG-002O ,86920
SG-002  ,8,9,SG-002N ,48183
SG-002  ,9,1,SG-002M ,8863
SG-002A ,1,2,SG-002AM,9779
SG-002A ,2,3,SG-002AN,49103
SG-002A ,3,4,SG-002AO,87841
SG-002A ,4,5,SG-002AP,126792
SG-002A ,5,6,SG-002AQ,166701
SG-002A ,6,7,SG-002AP,126792
SG-002A ,7,8,SG-002AO,87841
SG-002A ,8,9,SG-002AN,49103
