ROCKID,X_LOC,Y_LOC,ROCK_RECNO,FIRST_BMP
DA1  ,0,0,1,1
DA2  ,0,0,2,2
DA3  ,0,0,3,3
DA4  ,0,0,4,4
DA5  ,0,0,5,5
DA6  ,0,0,6,6
DA7  ,0,0,7,7
DA8  ,0,0,8,8
DA9  ,0,0,9,9
DB1  ,0,0,10,10
DB1  ,1,0,10,11
DB3  ,0,0,11,12
DB3  ,1,0,11,13
DB3  ,0,1,11,14
DB3  ,1,1,11,15
DB4  ,0,0,12,16
DB4  ,1,0,12,17
DB4  ,0,1,12,18
DB4  ,1,1,12,19
DB5  ,0,0,13,20
DB5  ,1,0,13,21
DB6  ,0,0,14,22
DB6  ,1,0,14,23
DB6  ,0,1,14,24
DB6  ,1,1,14,25
DB7  ,1,0,15,26
DB7  ,0,1,15,27
DB7  ,1,1,15,28
DB8  ,0,0,16,29
DB8  ,1,0,16,30
DB8  ,0,1,16,31
DB8  ,1,1,16,32
DB9  ,0,0,17,33
DB9  ,1,0,17,34
DB9  ,0,1,17,35
DB9  ,1,1,17,36
DBA  ,0,0,18,37
DBA  ,1,0,18,38
DBA  ,0,1,18,39
DBA  ,1,1,18,40
DBB  ,0,0,19,41
DBB  ,1,0,19,42
DBB  ,0,1,19,43
DBB  ,1,1,19,44
DBC  ,0,0,20,45
DBC  ,1,0,20,46
DBC  ,0,1,20,47
DBC  ,1,1,20,48
DBD  ,0,0,21,49
DBD  ,1,0,21,50
DBD  ,0,1,21,51
DBD  ,1,1,21,52
DBE  ,0,0,22,53
DBE  ,1,0,22,54
DBE  ,0,1,22,55
DBE  ,1,1,22,56
DBF  ,0,0,23,57
DBF  ,1,0,23,58
DBF  ,0,1,23,59
DBF  ,1,1,23,60
DBG  ,0,0,24,61
DBG  ,1,0,24,62
DBG  ,0,1,24,63
DBG  ,1,1,24,64
DBH  ,0,0,25,65
DBH  ,1,0,25,66
DBH  ,0,1,25,67
DBH  ,1,1,25,68
DBI  ,0,0,26,69
DBI  ,1,0,26,70
DBI  ,0,1,26,71
DBI  ,1,1,26,72
DBJ  ,0,0,27,73
DBJ  ,1,0,27,74
DBJ  ,0,1,27,75
DBJ  ,1,1,27,76
DBK  ,0,0,28,77
DBK  ,1,0,28,78
DBK  ,0,1,28,79
DBK  ,1,1,28,80
DBL  ,0,0,29,81
DBL  ,1,0,29,82
DBL  ,0,1,29,83
DBL  ,1,1,29,84
DBM  ,0,0,30,85
DBM  ,1,0,30,86
DBM  ,0,1,30,87
DBM  ,1,1,30,88
DBN  ,0,0,31,89
DBN  ,1,0,31,90
DBN  ,0,1,31,91
DBN  ,1,1,31,92
DBO  ,0,0,32,93
DBO  ,1,0,32,94
DBO  ,0,1,32,95
DBO  ,1,1,32,96
DBP  ,0,0,33,97
DBP  ,1,0,33,98
DBP  ,0,1,33,99
DBP  ,1,1,33,100
DBQ  ,0,0,34,101
DBQ  ,1,0,34,102
DBQ  ,0,1,34,103
DBQ  ,1,1,34,104
DBR  ,0,0,35,105
DBR  ,1,0,35,106
DBR  ,0,1,35,107
DBR  ,1,1,35,108
DBS  ,0,0,36,109
DBS  ,1,0,36,110
DBS  ,0,1,36,111
DBS  ,1,1,36,112
DBT  ,0,0,37,113
DBT  ,1,0,37,114
DBT  ,0,1,37,115
DBT  ,1,1,37,116
DBU  ,0,0,38,117
DBU  ,1,0,38,118
DBU  ,0,1,38,119
DBU  ,1,1,38,120
DBV  ,0,0,39,121
DBV  ,1,0,39,122
DBV  ,0,1,39,123
DBV  ,1,1,39,124
DBW  ,0,0,40,125
DBW  ,1,0,40,126
DBW  ,0,1,40,127
DBW  ,1,1,40,128
DBX  ,0,0,41,129
DBX  ,1,0,41,130
DBX  ,0,1,41,131
DBX  ,1,1,41,132
DBY  ,0,0,42,133
DBY  ,1,0,42,134
DBY  ,0,1,42,135
DBY  ,1,1,42,136
DBZ  ,0,0,43,137
DBZ  ,1,0,43,138
DBZ  ,0,1,43,139
DBZ  ,1,1,43,140
DC1  ,0,0,44,141
DC1  ,1,0,44,142
DC1  ,2,0,44,143
DC1  ,0,1,44,144
DC1  ,1,1,44,145
DC1  ,2,1,44,146
DC1  ,0,2,44,147
DC1  ,1,2,44,148
DC3  ,1,0,45,149
DC3  ,2,0,45,150
DC3  ,0,1,45,151
DC3  ,1,1,45,152
DC3  ,2,1,45,153
DC3  ,0,2,45,154
DC3  ,1,2,45,155
DC3  ,2,2,45,156
DC4  ,0,0,46,157
DC4  ,1,0,46,158
DC4  ,2,0,46,159
DC4  ,0,1,46,160
DC4  ,1,1,46,161
DC4  ,2,1,46,162
DC5  ,0,0,47,163
DC5  ,1,0,47,164
DC5  ,0,1,47,165
DC5  ,1,1,47,166
DC5  ,2,1,47,167
DD1  ,0,0,48,168
DD1  ,1,0,48,169
DD1  ,2,0,48,170
DD1  ,0,1,48,171
DD1  ,1,1,48,172
DD1  ,2,1,48,173
DD1  ,3,1,48,174
DD1  ,0,2,48,175
DD1  ,1,2,48,176
DD1  ,2,2,48,177
DD1  ,3,2,48,178
DD2  ,0,0,49,179
DD2  ,1,0,49,180
DD2  ,2,0,49,181
DD2  ,3,0,49,182
DD2  ,0,1,49,183
DD2  ,1,1,49,184
DD2  ,2,1,49,185
DD2  ,0,2,49,186
DD2  ,1,2,49,187
