ROCKID,TYPE,LOC_WIDTH,LOC_HEIGHT,TERRAIN_1,TERRAIN_2,FIRST_ANIM,MAX_FRAME
DA1  ,D,1,1,G,D,1,1
DA2  ,D,1,1,G,D,2,1
DA3  ,D,1,1,G,D,3,1
DA4  ,D,1,1,G,D,4,1
DA5  ,D,1,1,G,D,5,1
DA6  ,D,1,1,G,D,6,1
DA7  ,D,1,1,G,D,7,1
DA8  ,D,1,1,G,D,8,1
DA9  ,D,1,1,G,D,9,1
DAA  ,D,1,1,G,D,10,1
DAB  ,D,1,1,G,D,11,1
DAC  ,D,1,1,G,D,12,1
DAD  ,D,1,1,G,D,13,1
DAE  ,D,1,1,G,D,14,1
DAF  ,D,1,1,G,D,15,1
DAG  ,D,1,1,G,D,16,1
DB1  ,D,2,2,G,D,17,1
DB2  ,D,2,2,G,D,18,1
DB3  ,D,2,2,G,D,19,1
DC1  ,D,3,3,G,D,20,1
DC2  ,D,3,3,G,D,21,1
DC3  ,D,3,3,G,D,22,1
DD1  ,D,4,3,G,D,23,1
DD2  ,D,4,3,G,D,24,1
EB1  ,E,2,1,S,S,25,1
EB2  ,E,1,2,S,S,26,1
EC1  ,E,3,3,S,S,27,1
EC2  ,E,2,3,S,S,28,1
ED1  ,E,4,4,S,S,29,1
EE1  ,E,5,4,S,S,30,1
