PLANT,SIZE,OFFSET_X,OFFSET_Y,TOWN_AGE,FILENAME,BITMAPPTR
BLUESPRS,1,-1,-36, ,BLUESP~1,0
BLUESPRS,2,2,-48, ,BLUESP~2,983
BLUESPRS,3,-5,-59, ,BLUESP~3,2395
BLUESPRS,4,1,-51, ,BLUESP~4,4039
BUSH    ,1,-1,-36,*,BUSH~1  ,5656
BUSH    ,2,0,-40,*,BUSH~2  ,6808
BUSH    ,3,-1,-59,*,BUSH~3  ,8222
BUSH    ,4,0,-59,*,BUSH~4  ,9732
FLOWERS ,1,8,6,*,FLOWER~1,11524
FLOWERS ,2,4,5, ,FLOWER~2,11652
FLOWERS ,3,5,-2, ,FLOWER~3,11905
FLOWERS ,4,1,0, ,FLOWER~4,12339
PALMS   ,1,-6,-59,1,PALMS~4 ,18082
PALMS   ,2,-11,-59,2,PALMS~3 ,15481
PALMS   ,3,2,-39,3,PALMS~2 ,14072
PALMS   ,4,-5,-28, ,PALMS~1 ,12849
REDWOODS,1,-1,-36,1,REDWOO~1,20570
REDWOODS,2,2,-48,2,REDWOO~2,21553
REDWOODS,3,-5,-59,3,REDWOO~3,22965
REDWOODS,4,1,-51, ,REDWOO~4,24609
TOWNTREE,1,-5,-28, ,TOWN1-1 ,26226
TOWNTREE,2,2,-39, ,TOWN1-2 ,28698
TOWNTREE,3,-11,-59, ,TOWN1-3 ,31121
TOWNTREE,4,-6,-59, ,TOWN1-4 ,36449
TREE    ,1,4,-20,1,TREE~1  ,41371
TREE    ,2,7,-28,2,TREE~2  ,42219
TREE    ,3,1,-59,3,TREE~3  ,43327
TREE    ,4,4,-35,4,TREE~4  ,45495
