ROCKID,X_LOC,Y_LOC,ROCK_RECNO,FIRST_BMP
DDA1 ,0,0,1,1
DDA2 ,0,0,2,2
DDA3 ,0,0,3,3
DDA4 ,0,0,4,4
DDA5 ,0,0,5,5
DDA6 ,0,0,6,6
DDA7 ,0,0,7,7
DDA8 ,0,0,8,8
DDA9 ,0,0,9,9
DDAA ,0,0,10,10
DDAB ,0,0,11,11
DDAC ,0,0,12,12
DDAD ,0,0,13,13
DDAE ,0,0,14,14
DDAF ,0,0,15,15
DDAG ,0,0,16,16
DDAH ,0,0,17,17
DDAI ,0,0,18,18
DDB1 ,0,0,19,19
DDB1 ,1,0,19,20
DDB1 ,0,1,19,21
DDB1 ,1,1,19,22
DDB2 ,0,0,20,23
DDB2 ,1,0,20,24
DDB2 ,0,1,20,25
DDB2 ,1,1,20,26
DDB3 ,0,0,21,27
DDB3 ,1,0,21,28
DDB3 ,0,1,21,29
DDB3 ,1,1,21,30
DDB4 ,0,0,22,31
DDB4 ,1,0,22,32
DDB4 ,0,1,22,33
DDB4 ,1,1,22,34
DDB5 ,0,0,23,35
DDB5 ,1,0,23,36
DDB5 ,0,1,23,37
DDB5 ,1,1,23,38
DDB6 ,0,0,24,39
DDB6 ,1,0,24,40
DDB6 ,0,1,24,41
DDB6 ,1,1,24,42
DDB7 ,0,0,25,43
DDB7 ,1,0,25,44
DDB7 ,0,1,25,45
DDB7 ,1,1,25,46
DDB8 ,0,0,26,47
DDB8 ,1,0,26,48
DDB8 ,0,1,26,49
DDB8 ,1,1,26,50
DDB9 ,0,0,27,51
DDB9 ,1,0,27,52
DDB9 ,0,1,27,53
DDB9 ,1,1,27,54
DDBA ,0,0,28,55
DDBA ,1,0,28,56
DDBA ,0,1,28,57
DDBA ,1,1,28,58
DDBB ,0,0,29,59
DDBB ,1,0,29,60
DDBB ,0,1,29,61
DDBB ,1,1,29,62
DDBC ,0,0,30,63
DDBC ,1,0,30,64
DDBC ,0,1,30,65
DDBC ,1,1,30,66
DDBD ,0,0,31,67
DDBD ,1,0,31,68
DDBD ,0,1,31,69
DDBD ,1,1,31,70
DDBE ,0,0,32,71
DDBE ,1,0,32,72
DDBE ,0,1,32,73
DDBE ,1,1,32,74
DDC1 ,0,0,33,75
DDC1 ,1,0,33,76
DDC1 ,2,0,33,77
DDC1 ,0,1,33,78
DDC1 ,1,1,33,79
DDC1 ,2,1,33,80
DDC1 ,0,2,33,81
DDC1 ,1,2,33,82
DDC1 ,2,2,33,83
DDC2 ,0,0,34,84
DDC2 ,1,0,34,85
DDC2 ,2,0,34,86
DDC2 ,0,1,34,87
DDC2 ,1,1,34,88
DDC2 ,2,1,34,89
DDC2 ,0,2,34,90
DDC2 ,1,2,34,91
DDC2 ,2,2,34,92
DDC3 ,0,0,35,93
DDC3 ,1,0,35,94
DDC3 ,2,0,35,95
DDC3 ,0,1,35,96
DDC3 ,1,1,35,97
DDC3 ,2,1,35,98
DDC3 ,0,2,35,99
DDC3 ,1,2,35,100
DDC3 ,2,2,35,101
DDC4 ,0,0,36,102
DDC4 ,1,0,36,103
DDC4 ,2,0,36,104
DDC4 ,0,1,36,105
DDC4 ,1,1,36,106
DDC4 ,2,1,36,107
DDC4 ,0,2,36,108
DDC4 ,1,2,36,109
DDC4 ,2,2,36,110
DDC5 ,0,0,37,111
DDC5 ,1,0,37,112
DDC5 ,2,0,37,113
DDC5 ,0,1,37,114
DDC5 ,1,1,37,115
DDC5 ,2,1,37,116
DDC5 ,0,2,37,117
DDC5 ,1,2,37,118
DDC5 ,2,2,37,119
DDC6 ,0,0,38,120
DDC6 ,1,0,38,121
DDC6 ,2,0,38,122
DDC6 ,0,1,38,123
DDC6 ,1,1,38,124
DDC6 ,2,1,38,125
DDC6 ,0,2,38,126
DDC6 ,1,2,38,127
DDC6 ,2,2,38,128
DDC7 ,0,0,39,129
DDC7 ,1,0,39,130
DDC7 ,2,0,39,131
DDC7 ,0,1,39,132
DDC7 ,1,1,39,133
DDC7 ,2,1,39,134
DDC7 ,0,2,39,135
DDC7 ,1,2,39,136
DDC7 ,2,2,39,137
DDC8 ,0,0,40,138
DDC8 ,1,0,40,139
DDC8 ,2,0,40,140
DDC8 ,0,1,40,141
DDC8 ,1,1,40,142
DDC8 ,2,1,40,143
DDC8 ,0,2,40,144
DDC8 ,1,2,40,145
DDC8 ,2,2,40,146
DDC9 ,0,0,41,147
DDC9 ,1,0,41,148
DDC9 ,2,0,41,149
DDC9 ,0,1,41,150
DDC9 ,1,1,41,151
DDC9 ,2,1,41,152
DDC9 ,0,2,41,153
DDC9 ,1,2,41,154
DDC9 ,2,2,41,155
DFA1 ,0,0,42,156
DFA2 ,0,0,43,157
DFA3 ,0,0,44,158
DFA4 ,0,0,45,159
DFA5 ,0,0,46,160
DFA6 ,0,0,47,161
DFA7 ,0,0,48,162
DFA8 ,0,0,49,163
DFA9 ,0,0,50,164
DFAA ,0,0,51,165
DFAB ,0,0,52,166
DFAC ,0,0,53,167
DFAD ,0,0,54,168
DGA1 ,0,0,55,169
DGA2 ,0,0,56,170
DGA3 ,0,0,57,171
DGA4 ,0,0,58,172
DGA5 ,0,0,59,173
DGA6 ,0,0,60,174
DGA7 ,0,0,61,175
DGA8 ,0,0,62,176
DGA9 ,0,0,63,177
DGAA ,0,0,64,178
DGAB ,0,0,65,179
DGAC ,0,0,66,180
DGAD ,0,0,67,181
DGAE ,0,0,68,182
DGAF ,0,0,69,183
DGAG ,0,0,70,184
DGAH ,0,0,71,185
DGAI ,0,0,72,186
DGAJ ,0,0,73,187
DGAK ,0,0,74,188
DGAL ,0,0,75,189
DGAM ,0,0,76,190
DGAN ,0,0,77,191
DGAO ,0,0,78,192
DGAP ,0,0,79,193
DGAQ ,0,0,80,194
DGAR ,0,0,81,195
DGAS ,0,0,82,196
DGAT ,0,0,83,197
DGAU ,0,0,84,198
DGAV ,0,0,85,199
DGAW ,0,0,86,200
DGAX ,0,0,87,201
DGAY ,0,0,88,202
DGAZ ,0,0,89,203
DGB1 ,0,0,90,204
DGB1 ,1,0,90,205
DGB1 ,0,1,90,206
DGB1 ,1,1,90,207
DGB2 ,0,0,91,208
DGB2 ,1,0,91,209
DGB2 ,0,1,91,210
DGB2 ,1,1,91,211
DGB3 ,0,0,92,212
DGB3 ,1,0,92,213
DGB3 ,0,1,92,214
DGB3 ,1,1,92,215
DGB4 ,0,0,93,216
DGB4 ,1,0,93,217
DGB4 ,0,1,93,218
DGB4 ,1,1,93,219
DGB5 ,0,0,94,220
DGB5 ,1,0,94,221
DGB5 ,0,1,94,222
DGB5 ,1,1,94,223
DGB6 ,0,0,95,224
DGB6 ,1,0,95,225
DGB6 ,0,1,95,226
DGB6 ,1,1,95,227
DGB7 ,0,0,96,228
DGB7 ,1,0,96,229
DGB7 ,0,1,96,230
DGB7 ,1,1,96,231
DGB8 ,0,0,97,232
DGB8 ,1,0,97,233
DGB8 ,0,1,97,234
DGB8 ,1,1,97,235
DGB9 ,0,0,98,236
DGB9 ,1,0,98,237
DGB9 ,0,1,98,238
DGB9 ,1,1,98,239
DGBA ,0,0,99,240
DGBA ,1,0,99,241
DGBA ,0,1,99,242
DGBA ,1,1,99,243
DGBB ,0,0,100,244
DGBB ,1,0,100,245
DGBB ,0,1,100,246
DGBB ,1,1,100,247
DGBC ,0,0,101,248
DGBC ,1,0,101,249
DGBC ,0,1,101,250
DGBC ,1,1,101,251
DGBD ,0,0,102,252
DGBD ,1,0,102,253
DGBD ,0,1,102,254
DGBD ,1,1,102,255
DGBE ,0,0,103,256
DGBE ,1,0,103,257
DGBE ,0,1,103,258
DGBE ,1,1,103,259
DGBF ,0,0,104,260
DGBF ,1,0,104,261
DGBF ,0,1,104,262
DGBF ,1,1,104,263
DGBG ,0,0,105,264
DGBG ,1,0,105,265
DGBG ,0,1,105,266
DGBG ,1,1,105,267
DGBH ,0,0,106,268
DGBH ,1,0,106,269
DGBH ,0,1,106,270
DGBH ,1,1,106,271
DGBI ,0,0,107,272
DGBI ,1,0,107,273
DGBI ,0,1,107,274
DGBI ,1,1,107,275
DGBJ ,0,0,108,276
DGBJ ,1,0,108,277
DGBJ ,0,1,108,278
DGBJ ,1,1,108,279
DGBK ,0,0,109,280
DGBK ,1,0,109,281
DGBK ,0,1,109,282
DGBK ,1,1,109,283
DGBL ,0,0,110,284
DGBL ,1,0,110,285
DGBL ,0,1,110,286
DGBL ,1,1,110,287
DGBM ,0,0,111,288
DGBM ,1,0,111,289
DGBM ,0,1,111,290
DGBM ,1,1,111,291
DGBN ,0,0,112,292
DGBN ,1,0,112,293
DGBN ,0,1,112,294
DGBN ,1,1,112,295
DGBO ,0,0,113,296
DGBO ,1,0,113,297
DGBO ,0,1,113,298
DGBO ,1,1,113,299
DGBP ,0,0,114,300
DGBP ,1,0,114,301
DGBP ,0,1,114,302
DGBP ,1,1,114,303
DGC1 ,0,0,115,304
DGC1 ,1,0,115,305
DGC1 ,2,0,115,306
DGC1 ,0,1,115,307
DGC1 ,1,1,115,308
DGC1 ,2,1,115,309
DGC1 ,0,2,115,310
DGC1 ,1,2,115,311
DGC1 ,2,2,115,312
DGD1 ,0,0,116,313
DGD1 ,1,0,116,314
DGD1 ,2,0,116,315
DGD1 ,3,0,116,316
DGD1 ,0,1,116,317
DGD1 ,1,1,116,318
DGD1 ,2,1,116,319
DGD1 ,3,1,116,320
DGD1 ,0,2,116,321
DGD1 ,1,2,116,322
DGD1 ,2,2,116,323
DGD1 ,3,2,116,324
DGD1 ,0,3,116,325
DGD1 ,1,3,116,326
DGD1 ,2,3,116,327
DGD1 ,3,3,116,328
DGD2 ,0,0,117,329
DGD2 ,1,0,117,330
DGD2 ,2,0,117,331
DGD2 ,3,0,117,332
DGD2 ,0,1,117,333
DGD2 ,1,1,117,334
DGD2 ,2,1,117,335
DGD2 ,3,1,117,336
DGD2 ,0,2,117,337
DGD2 ,1,2,117,338
DGD2 ,2,2,117,339
