PLANT,SIZE,OFFSET_X,OFFSET_Y,TOWN_AGE,FILENAME,BITMAPPTR
BLUESPRS,1,-10,-24, ,BLUESP~1,0
BLUESPRS,2,-13,-34, ,BLUESP~2,1340
BLUESPRS,3,-15,-46, ,BLUESP~3,3226
BLUESPRS,4,-21,-59, ,BLUESP~4,6539
BUSH    ,1,-19,-28,*,BUSH~1  ,10803
BUSH    ,2,-10,-43,*,BUSH~2  ,12131
BUSH    ,3,-2,-46,*,BUSH~3  ,14197
BUSH    ,4,-10,-42,*,BUSH~4  ,16450
CTUS-L  ,1,-19,-28, ,CTUS-L~1,19123
CTUS-L  ,2,-10,-44, ,CTUS-L~2,20389
CTUS-L  ,3,-4,-37, ,CTUS-L~3,22479
CTUS-L  ,4,-10,-42, ,CTUS-L~4,24901
CTUS-S  ,1,-15,-21, ,CTUS-S~1,27576
CTUS-S  ,2,-18,-27, ,CTUS-S~2,29116
CTUS-S  ,3,-22,-28, ,CTUS-S~3,31193
DECID-1 ,1,-19,-28,1,DECID-11,33680
DECID-1 ,2,-10,-44,2,DECID-12,34946
DECID-2 ,1,-3,-45,1,DECID-21,37036
DECID-2 ,2,-10,-42,2,DECID-22,39458
FIRS    ,1,-15,-21,1,FIRS~1  ,42133
FIRS    ,2,-18,-30,2,FIRS~2  ,43673
FIRS    ,3,-22,-32,3,FIRS~3  ,45750
FIRS    ,4,-24,-42, ,FIRS~4  ,48237
FLOWERS ,1,-12,-20,*,FLOWER~1,51743
FLOWERS ,2,-18,-29, ,FLOWER~2,53029
FLOWERS ,3,-22,-33, ,FLOWER~3,55086
FLOWERS ,4,-24,-43, ,FLOWER~4,57500
MAPLES  ,1,-19,-28,1,MAPLES~1,60919
MAPLES  ,2,-10,-44,2,MAPLES~2,62239
MAPLES  ,3,-2,-45, ,MAPLES~3,64319
MAPLES  ,4,-10,-43, ,MAPLES~4,66613
OAKS    ,1,-5,-10,*,OAKS~1  ,69211
OAKS    ,2,-7,-18, ,OAKS~2  ,69605
OAKS    ,3,-14,-31, ,OAKS~3  ,70143
OAKS    ,4,-18,-40, ,OAKS~4  ,70973
PALMS   ,1,-2,-47,1,PALMS~4 ,75002
PALMS   ,2,0,-42,2,PALMS~3 ,73623
PALMS   ,3,-1,-31,3,PALMS~2 ,72702
PALMS   ,4,2,-21, ,PALMS~1 ,72065
REDWOODS,1,-5,-33,1,REDWOO~1,76675
REDWOODS,2,-10,-39,2,REDWOO~2,77696
REDWOODS,3,-16,-53,3,REDWOO~3,79087
REDWOODS,4,-19,-58, ,REDWOO~4,81093
TOWNTREE,1,-5,-29, ,TOWN1-1 ,83543
TOWNTREE,1,-10,-35, ,TOWN1-2 ,84852
TOWNTREE,1,-16,-48, ,TOWN1-3 ,86539
TOWNTREE,1,-22,-58, ,TOWN1-4 ,89135
TREE    ,1,4,-30,1,TREE~1  ,92868
TREE    ,2,3,-33,2,TREE~2  ,93759
TREE    ,3,2,-35,3,TREE~3  ,94733
TREE    ,4,2,-34,4,TREE~4  ,95733
