ROCKID,X_LOC,Y_LOC,FRAME_NO,FILENAME,BITMAPPTR
DA1  ,0,0,1,DA1-00  ,279672
DA2  ,0,0,1,DA2-00  ,280704
DA3  ,0,0,1,DA3-00  ,281736
DA4  ,0,0,1,DA4-00  ,282768
DA5  ,0,0,1,DA5-00  ,298248
DA6  ,0,0,1,DA6-00  ,299280
DA7  ,0,0,1,DA7-00  ,300312
DA8  ,0,0,1,DA8-00  ,301344
DA9  ,0,0,1,DA9-00  ,302376
DB1  ,0,0,1,DB1-00  ,283800
DB1  ,1,0,1,DB1-01  ,284832
DB3  ,0,0,1,DB3-00  ,285864
DB3  ,1,0,1,DB3-01  ,286896
DB3  ,0,1,1,DB3-10  ,287928
DB3  ,1,1,1,DB3-11  ,288960
DB4  ,0,0,1,DB4-00  ,303408
DB4  ,1,0,1,DB4-01  ,304440
DB4  ,0,1,1,DB4-10  ,305472
DB4  ,1,1,1,DB4-11  ,306504
DB5  ,0,0,1,DB5-00  ,307536
DB5  ,1,0,1,DB5-01  ,308568
DB6  ,0,0,1,DB6-00  ,309600
DB6  ,1,0,1,DB6-01  ,310632
DB6  ,0,1,1,DB6-10  ,311664
DB6  ,1,1,1,DB6-11  ,312696
DB7  ,1,0,1,DB7-01  ,313728
DB7  ,0,1,1,DB7-10  ,314760
DB7  ,1,1,1,DB7-11  ,315792
DB8  ,0,0,1,DB8-00  ,85656
DB8  ,1,0,1,DB8-01  ,86688
DB8  ,0,1,1,DB8-10  ,87720
DB8  ,1,1,1,DB8-11  ,88752
DB9  ,0,0,1,DB9-00  ,89784
DB9  ,1,0,1,DB9-01  ,90816
DB9  ,0,1,1,DB9-10  ,91848
DB9  ,1,1,1,DB9-11  ,92880
DBA  ,0,0,1,DBA-00  ,93912
DBA  ,1,0,1,DBA-01  ,94944
DBA  ,0,1,1,DBA-10  ,95976
DBA  ,1,1,1,DBA-11  ,97008
DBB  ,0,0,1,DBB-00  ,98040
DBB  ,1,0,1,DBB-01  ,99072
DBB  ,0,1,1,DBB-10  ,100104
DBB  ,1,1,1,DBB-11  ,101136
DBC  ,0,0,1,DBC-00  ,102168
DBC  ,1,0,1,DBC-01  ,103200
DBC  ,0,1,1,DBC-10  ,104232
DBC  ,1,1,1,DBC-11  ,105264
DBD  ,0,0,1,DBD-00  ,106296
DBD  ,1,0,1,DBD-01  ,107328
DBD  ,0,1,1,DBD-10  ,108360
DBD  ,1,1,1,DBD-11  ,109392
DBE  ,0,0,1,DBE-00  ,110424
DBE  ,1,0,1,DBE-01  ,111456
DBE  ,0,1,1,DBE-10  ,112488
DBE  ,1,1,1,DBE-11  ,113520
DBF  ,0,0,1,DBF-00  ,114552
DBF  ,1,0,1,DBF-01  ,115584
DBF  ,0,1,1,DBF-10  ,116616
DBF  ,1,1,1,DBF-11  ,117648
