NW_TYPE,NE_TYPE,SW_TYPE,SE_TYPE,EXTRA,SPECIAL,REP_TYPE,SEC_TYPE,PATTERN_ID,FILENAME,BITMAPPTR
D*,D*,D*,D*, , ,D,D,0,DD-001  ,306504
D*,D*,D*,D*, , ,D,D,0,DD-002  ,307536
D*,D*,D*,D*, , ,D,D,0,DD-003  ,308568
D*,D*,D*,D*, , ,D,D,0,DD-004  ,309600
D*,D*,D*,D*, , ,D,D,0,DD-005  ,310632
D*,D*,D*,D*, , ,D,D,0,DD-006  ,311664
D*,D*,D*,D*, , ,D,D,0,DD-007  ,312696
D*,D*,D*,D*, , ,D,D,0,DD-008  ,313728
D*,D*,D*,D*, , ,D,D,0,DD-009  ,314760
D*,D*,D*,D*, , ,D,D,0,DD-010  ,315792
D*,D*,D*,D*, , ,D,D,0,DD-011  ,316824
D*,D*,D*,D*, , ,D,D,0,DD-012  ,317856
D*,D*,D*,D*, , ,D,D,0,DD-013  ,353976
D*,D*,D*,D*, , ,D,D,0,DD-014  ,355008
D*,D*,D*,D*, , ,D,D,0,DD-015  ,356040
D*,D*,D*,D*, , ,D,D,0,DD-016  ,357072
D*,D*,D*,D*, , ,D,D,0,DD-017  ,358104
D*,D*,D*,D*, , ,D,D,0,DD-018  ,359136
D*,D*,D*,D*, , ,D,D,0,DD-019  ,360168
D*,D*,D*,D*, , ,D,D,0,DD-020  ,361200
D*,D*,D*,D*, , ,D,D,0,DD-021  ,362232
D*,D*,D*,D*, , ,D,D,0,DD-022  ,363264
D*,D*,D*,D*, , ,D,D,0,DD-023  ,364296
D*,D*,D*,D*, , ,D,D,0,DD-024  ,365328
D*,D*,D*,D*, , ,D,D,0,DD-025  ,366360
D*,D*,D*,FB, , ,F,D,28,FD-028  ,276576
D*,D*,FB,D*, , ,F,D,27,FD-027  ,275544
D*,D-,D-,F+, , ,F,D,28,FD-028  ,276576
D*,D-,DA,F+, , ,D,F,36,FD-036  ,284832
D*,DA,D-,F+, , ,D,F,32,FD-032  ,280704
D*,DA,DA,F+, , ,D,F,40,FD-040  ,262128
D*,FB,D*,D*, , ,F,D,26,FD-026  ,274512
D*,FB,FB,D*, , ,F,D,50,FD-050  ,272448
D-,D*,F+,D-, , ,F,D,27,FD-027  ,275544
D-,D*,F+,DA, , ,D,F,35,FD-035  ,283800
D-,D-,F*,F*, , ,F,D,11,FD-011  ,230136
D-,D-,F*,F*, , ,F,D,11,FD-011A ,231168
D-,DA,F*,F+, , ,F,D,19,FD-019  ,246648
D-,DA,F*,F+, , ,F,D,19,FD-019A ,247680
D-,DA,F*,FB, , ,F,D,11,FD-011  ,230136
D-,DA,F*,FB, , ,F,D,11,FD-011A ,231168
D-,F*,D*,D-, , ,F,D,26,FD-026  ,274512
D-,F*,D-,F*, , ,F,D,10,FD-010  ,228072
D-,F*,D-,F*, , ,F,D,10,FD-010A ,229104
D-,F*,DA,F+, , ,F,D,18,FD-018  ,244584
D-,F*,DA,F+, , ,F,D,18,FD-018A ,245616
D-,F*,DA,FB, , ,F,D,10,FD-010  ,228072
D-,F*,DA,FB, , ,F,D,10,FD-010A ,229104
D-,F*,F*,F*, , ,F,D,4,FD-004  ,220848
D-,F+,D*,DA, , ,D,F,34,FD-034  ,282768
D-,F+,F+,D-, , ,F,D,50,FD-050  ,272448
D-,F+,F+,DA, , ,F,D,64,FD-064  ,299280
D-,F+,F+,DA, , ,F,D,68,FD-068  ,303408
D-,F+,FB,D-, , ,F,D,50,FD-050  ,272448
D-,F+,FB,DA, , ,F,D,54,FD-054  ,288960
D-,FB,F+,D-, , ,F,D,50,FD-050  ,272448
D-,FB,F+,DA, , ,F,D,70,FD-070  ,305472
DA,D*,F+,D-, , ,D,F,31,FD-031  ,279672
DA,D*,F+,DA, , ,D,F,39,FD-039  ,261096
