NW_TYPE,NE_TYPE,SW_TYPE,SE_TYPE,EXTRA,SPECIAL,REP_TYPE,SEC_TYPE,PATTERN_ID,FILENAME,BITMAPPTR
D*,D*,D*,FB, , ,F,D,28,FD-028  ,277608
D*,D*,FB,D*, , ,F,D,27,FD-027  ,276576
D*,D-,D-,F+, , ,F,D,28,FD-028  ,277608
D*,D-,DA,F+, , ,D,F,36,FD-036  ,285864
D*,DA,D-,F+, , ,D,F,32,FD-032  ,281736
D*,DA,DA,F+, , ,D,F,40,FD-040  ,263160
D*,FB,D*,D*, , ,F,D,26,FD-026  ,275544
D*,FB,FB,D*, , ,F,D,50,FD-050  ,273480
D+,D+,D+,D+, , ,D,D,0,DD-044A ,523224
D+,D+,D+,D+, , ,D,D,0,DD-044B ,573792
D+,D+,D+,D+, , ,D,D,0,DD-044C ,574824
D+,D+,D+,D+, , ,D,D,0,DD-044D ,575856
D+,D+,D+,D+, , ,D,D,0,DD-044E ,576888
D+,D+,D+,D-, , ,D,D,0,DD-054  ,532512
D+,D+,D+,D0, , ,D,D,0,DD-034  ,513936
D+,D+,D-,D+, , ,D,D,0,DD-074  ,551088
D+,D+,D-,D-, , ,D,D,0,DD-084  ,560376
D+,D+,D-,D0, , ,D,D,0,DD-064  ,541800
D+,D+,D0,D+, , ,D,D,0,DD-014  ,495360
D+,D+,D0,D-, , ,D,D,0,DD-024  ,504648
D+,D+,D0,D0, , ,D,D,0,DD-004  ,486072
D+,D-,D+,D+, , ,D,D,0,DD-045  ,524256
D+,D-,D+,D-, , ,D,D,0,DD-055  ,533544
D+,D-,D+,D0, , ,D,D,0,DD-035  ,514968
D+,D-,D-,D+, , ,D,D,0,DD-075  ,552120
D+,D-,D-,D-, , ,D,D,0,DD-085  ,561408
D+,D-,D-,D0, , ,D,D,0,DD-065  ,542832
D+,D-,D0,D+, , ,D,D,0,DD-015  ,496392
D+,D-,D0,D-, , ,D,D,0,DD-025  ,505680
D+,D-,D0,D0, , ,D,D,0,DD-005  ,487104
D+,D0,D+,D+, , ,D,D,0,DD-043  ,522192
D+,D0,D+,D-, , ,D,D,0,DD-053  ,531480
D+,D0,D+,D0, , ,D,D,0,DD-033  ,512904
D+,D0,D-,D+, , ,D,D,0,DD-073  ,550056
D+,D0,D-,D-, , ,D,D,0,DD-083  ,559344
D+,D0,D-,D0, , ,D,D,0,DD-063  ,540768
D+,D0,D0,D+, , ,D,D,0,DD-013  ,494328
D+,D0,D0,D-, , ,D,D,0,DD-023  ,503616
D+,D0,D0,D0, , ,D,D,0,DD-003  ,485040
D-,D*,F+,D-, , ,F,D,27,FD-027  ,276576
D-,D*,F+,DA, , ,D,F,35,FD-035  ,284832
D-,D+,D+,D+, , ,D,D,0,DD-047  ,526320
D-,D+,D+,D-, , ,D,D,0,DD-057  ,535608
D-,D+,D+,D0, , ,D,D,0,DD-037  ,517032
D-,D+,D-,D+, , ,D,D,0,DD-077  ,554184
D-,D+,D-,D-, , ,D,D,0,DD-087  ,563472
D-,D+,D-,D0, , ,D,D,0,DD-067  ,544896
D-,D+,D0,D+, , ,D,D,0,DD-017  ,498456
D-,D+,D0,D-, , ,D,D,0,DD-027  ,507744
D-,D+,D0,D0, , ,D,D,0,DD-007  ,489168
D-,D-,D+,D+, , ,D,D,0,DD-048  ,527352
D-,D-,D+,D-, , ,D,D,0,DD-058  ,536640
D-,D-,D+,D0, , ,D,D,0,DD-038  ,518064
D-,D-,D-,D+, , ,D,D,0,DD-078  ,555216
